%Ind           Name   Pos[m]
1 TCP.6L3.B1 0.0
2 TCSG.5L3.B1 33.37
4 TCSG.4R3.B1 219.86
6 TCSG.A5R3.B1 231.25
8 TCSG.B5R3.B1 237.07
10 TCP.D6L7.B1 13301.51
11 TCP.C6L7.B1 13303.51
12 TCP.B6L7.B1 13305.51
16 TCSG.A6L7.B1 13345.01
18 TCSG.B5L7.B1 13404.24
20 TCSG.A5L7.B1 13408.24
22 TCSG.D4L7.B1 13429.57
26 TCSG.B4L7.B1 13499.49
28 TCSG.A4L7.B1 13503.49
30 TCSG.A4R7.B1 13507.49
36 TCSG.B5R7.B1 13598.75
40 TCSG.D5R7.B1 13614.75
42 TCSG.E5R7.B1 13618.75
44 TCSG.6R7.B1 13653.35
46 TCLA.A5R3.B1 267.55
47 TCLA.B5R3.B1 269.55
48 TCLA.6R3.B1 356.1
49 TCLA.7R3.B1 427.51
50 TCLA.A6R7.B1 13660.42
51 TCLA.B6R7.B1 13691.29
52 TCLA.C6R7.B1 13724.84
53 TCLA.D6R7.B1 13726.84
54 TCLA.A7R7.B1 13744.19
55 TCTH.4L1.B1 20023.69
56 TCTVA.4L1.B1 20025.37
57 TCTH.4L2.B1 23385.62
58 TCTH.4L5.B1 6694.1
59 TCTVA.4L5.B1 6695.78
60 TCTH.4L8.B1 16709.76
61 TCTVA.4L2.B1 23387.03
62 TCTVA.4L8.B1 16711.48
63 TCL.4R1.B1 20320.86
64 TCL.5R1.B1 20355.49
65 TCL.6R1.B1 20390.73
66 TCL.4R5.B1 6991.35
67 TCL.5R5.B1 7025.88
68 TCL.6R5.B1 7063.22
69 TCLIA.4R2 23577.32
70 TCLIB.6R2.B1 23731.22
71 TCDQA.A4R6.B1 10317.3
72 TCDQA.B4R6.B1 10320.85
73 TCDQA.C4R6.B1 10324.4
74 TCSG.4R6.B1 10328.31
75 TDI.4L2.B1 23422.73
