%Ind Name %Ind
9 TCP.6L3.B1 0.0012999999999
10 TCSG.5L3.B1 33.3228
11 TCSG.4R3.B1 219.9058
12 TCSG.A5R3.B1 231.2508
13 TCSG.B5R3.B1 237.0708
14 TCLA.A5R3.B1 267.5508
15 TCLA.B5R3.B1 269.5508
16 TCLA.6R3.B1 356.1003
17 TCLA.7R3.B1 427.5058
18 TCTPH.4L5.B1 6694.0992
19 TCTPV.4L5.B1 6695.7792
20 TCL.4R5.B1 6991.3492
21 TCL.5R5.B1 7025.8832
22 TCL.6R5.B1 7063.1932
23 TCDQA.A4R6.B1 10317.2958
24 TCDQA.C4R6.B1 10320.8458
25 TCDQA.B4R6.B1 10324.3958
26 TCSP.A4R6.B1 10328.3058
27 TCP.D6L7.B1 13301.5144
28 TCP.C6L7.B1 13303.5144
29 TCP.B6L7.B1 13305.5144
30 TCSG.A6L7.B1 13345.0089
31 TCSG.B5L7.B1 13404.2364
32 TCSG.A5L7.B1 13408.2364
33 TCSG.D4L7.B1 13429.5664
34 TCSG.B4L7.B1 13499.4924
35 TCSG.A4L7.B1 13503.4924
36 TCSG.A4R7.B1 13507.4924
37 TCSG.B5R7.B1 13598.7484
38 TCSG.D5R7.B1 13614.7484
39 TCSG.E5R7.B1 13618.7484
40 TCSG.6R7.B1 13653.3534
41 TCLA.A6R7.B1 13660.4194
42 TCLA.B6R7.B1 13691.2934
43 TCLA.C6R7.B1 13724.5624
44 TCLA.D6R7.B1 13726.5624
45 TCLA.A7R7.B1 13744.1904
46 TCTPH.4L8.B1 16709.476
47 TCTPV.4L8.B1 16711.476
48 TCTPH.4L1.B1 20023.6932
49 TCTPV.4L1.B1 20025.3732
1 TCL.4R1.B1 20320.86
2 TCL.5R1.B1 20355.487
3 TCL.6R1.B1 20390.143
4 TCTPH.4L2.B1 23385.0336
5 TCTPV.4L2.B1 23387.0336
6 TDI.4L2.B1 23422.7336
7 TCLIA.4R2 23577.3146
8 TCLIB.6R2.B1 23731.2206
